Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51848,51848,Filled,362.9360,2024-02-14 16:44:42,2024-02-14 16:49:33,1174707406
BITSTAMP:BTCUSD,Buy,Market,7000,51841,51841,Filled,362.8870,2024-02-14 16:44:42,2024-02-14 16:44:42,1174707405
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51767,51767,Filled,362.3690,2024-02-14 16:12:04,2024-02-14 16:12:20,1174610544
BITSTAMP:BTCUSD,Buy,Market,7000,51760,51760,Filled,362.3200,2024-02-14 16:12:04,2024-02-14 16:12:04,1174610543
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51747,51749,Filled,362.2430,2024-02-14 15:54:02,2024-02-14 15:56:27,1174575155
BITSTAMP:BTCUSD,Buy,Market,7000,51741,51741,Filled,362.1870,2024-02-14 15:54:02,2024-02-14 15:54:03,1174575154
BITSTAMP:BTCUSD,Buy,Market,7000,49120,49120,Filled,343.8400,2024-02-13 22:04:08,2024-02-13 22:04:08,1173562415
BITSTAMP:BTCUSD,Sell,Take Profit,7000,49126,49127,Filled,343.8890,2024-02-13 22:04:08,2024-02-13 22:04:22,1173562416
OANDA:BTCUSD,Buy,Market,7000,49192.6,49192.6,Filled,344.3482,2024-02-13 22:06:25,2024-02-13 22:06:25,1173565832
OANDA:BTCUSD,Sell,Take Profit,7000,49194.9,49197.4,Filled,344.3818,2024-02-13 22:06:25,2024-02-13 22:08:31,1173565833
AMEX:GBTC,Buy,Market,500,,,Rejected,,2024-02-14 00:50:35,2024-02-14 00:50:35,1173713097
AMEX:GBTC,Sell,Take Profit,500,44.33,,Rejected,,2024-02-14 00:50:35,2024-02-14 00:50:35,1173713099
AMEX:GBTC,Buy,Market,500,,,Rejected,,2024-02-14 00:53:13,2024-02-14 00:53:13,1173714334
AMEX:GBTC,Sell,Take Profit,500,44.33,,Rejected,,2024-02-14 00:53:13,2024-02-14 00:53:13,1173714335
AMEX:BITB,Buy,Market,10,,,Rejected,,2024-02-14 00:58:00,2024-02-14 00:58:00,1173716392
AMEX:BITB,Sell,Take Profit,10,27.9,,Rejected,,2024-02-14 00:58:00,2024-02-14 00:58:00,1173716393
NASDAQ:SPBC,Buy,Market,1,,,Rejected,,2024-02-14 00:59:39,2024-02-14 00:59:39,1173717225
NASDAQ:SPBC,Sell,Take Profit,1,35.75,,Rejected,,2024-02-14 00:59:39,2024-02-14 00:59:39,1173717226
BITSTAMP:BTCUSD,Buy,Market,7000,49843,49843,Filled,348.9010,2024-02-14 09:33:01,2024-02-14 09:33:01,1174048881
BITSTAMP:BTCUSD,Sell,Take Profit,7000,49860,49860,Filled,349.0200,2024-02-14 09:33:01,2024-02-14 09:33:33,1174048882
OANDA:EURUSD,Sell,Market,3333,1.07051,1.07051,Filled,0.0036,2024-02-14 09:34:44,2024-02-14 09:34:44,1174050733
OANDA:EURUSD,Buy,Take Profit,3333,0.07051,,Cancelled,,2024-02-14 09:34:44,2024-02-14 09:49:36,1174050734
OANDA:EURUSD,Buy,Market,3333,1.07143,1.07143,Filled,0.0036,2024-02-14 09:50:27,2024-02-14 09:50:27,1174065888
BITSTAMP:BTCUSD,Buy,Market,7000,49864,49864,Filled,349.0480,2024-02-14 09:59:00,2024-02-14 09:59:00,1174074898
BITSTAMP:BTCUSD,Sell,Take Profit,7000,49870,49879,Filled,349.1530,2024-02-14 09:59:00,2024-02-14 10:00:06,1174074899
OANDA:EURUSD,Sell,Market,3333,1.0697,1.0697,Filled,0.0036,2024-02-14 12:16:47,2024-02-14 12:16:47,1174269544
OANDA:EURUSD,Buy,Market,3333,1.07134,1.07134,Filled,0.0036,2024-02-14 15:15:35,2024-02-14 15:15:35,1174504185
OANDA:EURUSD,Buy,Take Profit,3333,1.0687,,Cancelled,,2024-02-14 12:16:47,2024-02-14 15:15:35,1174269545