Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID
BITSTAMP:BTCUSD,Sell,Market,7000,63979,63979,Filled,447.8530,2024-03-19 22:41:43,2024-03-19 22:41:43,1233721241
BITSTAMP:BTCUSD,Buy,Take Profit,7000,63954,63953,Filled,447.6710,2024-03-19 22:41:43,2024-03-19 22:42:58,1233721242
BITSTAMP:BTCUSD,Sell,Market,7000,67532,67532,Filled,472.7240,2024-03-21 02:34:00,2024-03-21 02:34:00,1236091732
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67535,67533,Filled,472.7310,2024-03-21 02:34:00,2024-03-21 02:34:07,1236091733
BITSTAMP:BTCUSD,Sell,Market,7000,67506,67506,Filled,472.5420,2024-03-21 02:34:37,2024-03-21 02:34:37,1236092237
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67495,67495,Filled,472.4650,2024-03-21 02:34:37,2024-03-21 05:15:02,1236092238
BYBIT:BTCUSDT,Sell,Market,100,68034.34,68034.34,Filled,6.7354,2024-04-05 05:24:11,2024-04-05 05:24:12,1259594474
BYBIT:BTCUSDT,Buy,Take Profit,100,68034.7,68034.35,Filled,6.7354,2024-04-05 05:24:11,2024-04-05 05:24:12,1259594475
BITSTAMP:BTCUSD,Sell,Market,7000,68017,68017,Filled,476.1190,2024-04-05 05:24:29,2024-04-05 05:24:29,1259594669
BITSTAMP:BTCUSD,Buy,Take Profit,7000,68007,67998,Filled,475.9860,2024-04-05 05:24:29,2024-04-05 05:25:37,1259594670
BYBIT:BTCUSDT,Sell,Market,100,67840.53,67840.53,Filled,6.7162,2024-04-05 05:27:19,2024-04-05 05:27:19,1259596637
BYBIT:BTCUSDT,Buy,Take Profit,100,67828.5,67827.19,Filled,6.7149,2024-04-05 05:27:19,2024-04-05 05:27:20,1259596638
BYBIT:BTCUSDT,Sell,Market,100,66864.17,66864.17,Filled,6.6196,2024-04-05 09:21:18,2024-04-05 09:21:18,1259816405
BYBIT:BTCUSDT,Buy,Market,100,66854.26,66854.26,Filled,6.6186,2024-04-05 09:23:49,2024-04-05 09:23:49,1259819492
BYBIT:BTCUSDT,Buy,Take Profit,100,66828.24,,Cancelled,,2024-04-05 09:21:18,2024-04-05 09:23:49,1259816406
BYBIT:BTCUSDT,Sell,Market,100,67763.02,67763.02,Filled,6.7085,2024-04-06 03:10:55,2024-04-06 03:10:55,1261337681
BITSTAMP:BTCUSD,Sell,Market,7000,67798,67798,Filled,474.5860,2024-04-06 03:11:05,2024-04-06 03:11:06,1261337720
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67783,67782,Filled,474.4740,2024-04-06 03:11:05,2024-04-06 03:11:15,1261337721
BYBIT:BTCUSDT,Buy,Take Profit,100,67737.46,67734.87,Filled,6.7058,2024-04-06 03:10:55,2024-04-06 03:11:19,1261337682
BITSTAMP:BTCUSD,Sell,Market,7000,67779,67779,Filled,474.4530,2024-04-06 04:54:05,2024-04-06 04:54:05,1261373776
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67764,67764,Filled,474.3480,2024-04-06 04:54:05,2024-04-06 04:54:09,1261373777
BITSTAMP:BTCUSD,Sell,Market,7000,67763,67763,Filled,474.3410,2024-04-06 04:54:11,2024-04-06 04:54:11,1261373805
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67743,67720,Filled,474.0400,2024-04-06 04:54:11,2024-04-06 04:55:23,1261373806
BITSTAMP:BTCUSD,Sell,Market,7000,67703,67703,Filled,473.9210,2024-04-06 04:57:44,2024-04-06 04:57:44,1261375239
BITSTAMP:BTCUSD,Buy,Take Profit,7000,67687,67687,Filled,473.8090,2024-04-06 04:57:44,2024-04-06 05:19:26,1261375240
OANDA:EURUSD,Buy,Market,3333,,,Rejected,,2024-04-06 06:50:11,2024-04-06 06:50:11,1261419442
OANDA:EURUSD,Sell,Take Profit,3333,2.08395,,Rejected,,2024-04-06 06:50:11,2024-04-06 06:50:11,1261419443
FX_IDC:USDEUR,Sell,Market,1000,,,Rejected,,2024-04-06 06:56:02,2024-04-06 06:56:02,1261422041
FX_IDC:USDEUR,Buy,Stop Loss,1000,0.925,,Rejected,,2024-04-06 06:56:02,2024-04-06 06:56:02,1261422042
FX_IDC:USDEUR,Buy,Take Profit,1000,0.915,,Rejected,,2024-04-06 06:56:02,2024-04-06 06:56:02,1261422043